timestamp,tag,value,unit,quality,alarm_state
2026-08-18T08:00:00,LT-101,56.441,%,GOOD,NORMAL
2026-08-18T08:00:00,LT-102,35.327,%,GOOD,NORMAL
2026-08-18T08:00:00,PT-101,3.298,bar,GOOD,NORMAL
2026-08-18T08:00:00,FT-101,47.878,m3/h,GOOD,NORMAL
2026-08-18T08:00:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:00:00,FV-101_POS,75.339,%,GOOD,NORMAL
2026-08-18T08:01:00,LT-101,56.484,%,GOOD,NORMAL
2026-08-18T08:01:00,LT-102,35.701,%,GOOD,NORMAL
2026-08-18T08:01:00,PT-101,3.25,bar,GOOD,NORMAL
2026-08-18T08:01:00,FT-101,48.132,m3/h,GOOD,NORMAL
2026-08-18T08:01:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:01:00,FV-101_POS,75.64,%,GOOD,NORMAL
2026-08-18T08:02:00,LT-101,56.589,%,GOOD,NORMAL
2026-08-18T08:02:00,LT-102,35.719,%,GOOD,NORMAL
2026-08-18T08:02:00,PT-101,3.252,bar,GOOD,NORMAL
2026-08-18T08:02:00,FT-101,49.127,m3/h,GOOD,NORMAL
2026-08-18T08:02:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:02:00,FV-101_POS,75.785,%,GOOD,NORMAL
2026-08-18T08:03:00,LT-101,56.503,%,GOOD,NORMAL
2026-08-18T08:03:00,LT-102,35.717,%,GOOD,NORMAL
2026-08-18T08:03:00,PT-101,3.266,bar,GOOD,NORMAL
2026-08-18T08:03:00,FT-101,47.926,m3/h,GOOD,NORMAL
2026-08-18T08:03:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:03:00,FV-101_POS,75.918,%,GOOD,NORMAL
2026-08-18T08:04:00,LT-101,56.651,%,GOOD,NORMAL
2026-08-18T08:04:00,LT-102,35.757,%,GOOD,NORMAL
2026-08-18T08:04:00,PT-101,3.215,bar,GOOD,NORMAL
2026-08-18T08:04:00,FT-101,48.427,m3/h,GOOD,NORMAL
2026-08-18T08:04:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:04:00,FV-101_POS,75.557,%,GOOD,NORMAL
2026-08-18T08:05:00,LT-101,56.721,%,GOOD,NORMAL
2026-08-18T08:05:00,LT-102,35.525,%,GOOD,NORMAL
2026-08-18T08:05:00,PT-101,3.2,bar,GOOD,NORMAL
2026-08-18T08:05:00,FT-101,48.104,m3/h,GOOD,NORMAL
2026-08-18T08:05:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:05:00,FV-101_POS,76.098,%,GOOD,NORMAL
2026-08-18T08:06:00,LT-101,56.755,%,GOOD,NORMAL
2026-08-18T08:06:00,LT-102,35.758,%,GOOD,NORMAL
2026-08-18T08:06:00,PT-101,3.208,bar,GOOD,NORMAL
2026-08-18T08:06:00,FT-101,48.676,m3/h,GOOD,NORMAL
2026-08-18T08:06:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:06:00,FV-101_POS,75.596,%,GOOD,NORMAL
2026-08-18T08:07:00,LT-101,56.861,%,GOOD,NORMAL
2026-08-18T08:07:00,LT-102,35.666,%,GOOD,NORMAL
2026-08-18T08:07:00,PT-101,3.248,bar,GOOD,NORMAL
2026-08-18T08:07:00,FT-101,48.115,m3/h,GOOD,NORMAL
2026-08-18T08:07:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:07:00,FV-101_POS,75.864,%,GOOD,NORMAL
2026-08-18T08:08:00,LT-101,56.72,%,GOOD,NORMAL
2026-08-18T08:08:00,LT-102,35.674,%,GOOD,NORMAL
2026-08-18T08:08:00,PT-101,3.264,bar,GOOD,NORMAL
2026-08-18T08:08:00,FT-101,48.534,m3/h,GOOD,NORMAL
2026-08-18T08:08:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:08:00,FV-101_POS,76.249,%,GOOD,NORMAL
2026-08-18T08:09:00,LT-101,56.695,%,GOOD,NORMAL
2026-08-18T08:09:00,LT-102,35.555,%,GOOD,NORMAL
2026-08-18T08:09:00,PT-101,3.305,bar,GOOD,NORMAL
2026-08-18T08:09:00,FT-101,48.884,m3/h,GOOD,NORMAL
2026-08-18T08:09:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:09:00,FV-101_POS,76.014,%,GOOD,NORMAL
2026-08-18T08:10:00,LT-101,56.726,%,GOOD,NORMAL
2026-08-18T08:10:00,LT-102,35.588,%,GOOD,NORMAL
2026-08-18T08:10:00,PT-101,3.193,bar,GOOD,NORMAL
2026-08-18T08:10:00,FT-101,48.23,m3/h,GOOD,NORMAL
2026-08-18T08:10:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:10:00,FV-101_POS,75.765,%,GOOD,NORMAL
2026-08-18T08:11:00,LT-101,56.785,%,GOOD,NORMAL
2026-08-18T08:11:00,LT-102,35.69,%,GOOD,NORMAL
2026-08-18T08:11:00,PT-101,3.218,bar,GOOD,NORMAL
2026-08-18T08:11:00,FT-101,48.402,m3/h,GOOD,NORMAL
2026-08-18T08:11:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:11:00,FV-101_POS,76.494,%,GOOD,NORMAL
2026-08-18T08:12:00,LT-101,56.662,%,GOOD,NORMAL
2026-08-18T08:12:00,LT-102,35.726,%,GOOD,NORMAL
2026-08-18T08:12:00,PT-101,3.336,bar,GOOD,NORMAL
2026-08-18T08:12:00,FT-101,48.702,m3/h,GOOD,NORMAL
2026-08-18T08:12:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:12:00,FV-101_POS,76.239,%,GOOD,NORMAL
2026-08-18T08:13:00,LT-101,56.825,%,GOOD,NORMAL
2026-08-18T08:13:00,LT-102,35.5,%,GOOD,NORMAL
2026-08-18T08:13:00,PT-101,3.212,bar,GOOD,NORMAL
2026-08-18T08:13:00,FT-101,48.465,m3/h,GOOD,NORMAL
2026-08-18T08:13:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:13:00,FV-101_POS,75.876,%,GOOD,NORMAL
2026-08-18T08:14:00,LT-101,56.56,%,GOOD,NORMAL
2026-08-18T08:14:00,LT-102,35.802,%,GOOD,NORMAL
2026-08-18T08:14:00,PT-101,3.285,bar,GOOD,NORMAL
2026-08-18T08:14:00,FT-101,48.834,m3/h,GOOD,NORMAL
2026-08-18T08:14:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:14:00,FV-101_POS,76.112,%,GOOD,NORMAL
2026-08-18T08:15:00,LT-101,56.989,%,GOOD,NORMAL
2026-08-18T08:15:00,LT-102,35.633,%,GOOD,NORMAL
2026-08-18T08:15:00,PT-101,3.258,bar,GOOD,NORMAL
2026-08-18T08:15:00,FT-101,48.807,m3/h,GOOD,NORMAL
2026-08-18T08:15:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:15:00,FV-101_POS,75.807,%,GOOD,NORMAL
2026-08-18T08:16:00,LT-101,56.69,%,GOOD,NORMAL
2026-08-18T08:16:00,LT-102,35.671,%,GOOD,NORMAL
2026-08-18T08:16:00,PT-101,3.218,bar,GOOD,NORMAL
2026-08-18T08:16:00,FT-101,48.757,m3/h,GOOD,NORMAL
2026-08-18T08:16:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:16:00,FV-101_POS,75.935,%,GOOD,NORMAL
2026-08-18T08:17:00,LT-101,56.975,%,GOOD,NORMAL
2026-08-18T08:17:00,LT-102,35.842,%,GOOD,NORMAL
2026-08-18T08:17:00,PT-101,3.332,bar,GOOD,NORMAL
2026-08-18T08:17:00,FT-101,48.49,m3/h,GOOD,NORMAL
2026-08-18T08:17:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:17:00,FV-101_POS,76.053,%,GOOD,NORMAL
2026-08-18T08:18:00,LT-101,56.946,%,GOOD,NORMAL
2026-08-18T08:18:00,LT-102,35.767,%,GOOD,NORMAL
2026-08-18T08:18:00,PT-101,3.341,bar,GOOD,NORMAL
2026-08-18T08:18:00,FT-101,48.848,m3/h,GOOD,NORMAL
2026-08-18T08:18:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:18:00,FV-101_POS,75.955,%,GOOD,NORMAL
2026-08-18T08:19:00,LT-101,56.729,%,GOOD,NORMAL
2026-08-18T08:19:00,LT-102,35.659,%,GOOD,NORMAL
2026-08-18T08:19:00,PT-101,3.292,bar,GOOD,NORMAL
2026-08-18T08:19:00,FT-101,49.014,m3/h,GOOD,NORMAL
2026-08-18T08:19:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:19:00,FV-101_POS,75.786,%,GOOD,NORMAL
2026-08-18T08:20:00,LT-101,56.739,%,GOOD,NORMAL
2026-08-18T08:20:00,LT-102,35.689,%,GOOD,NORMAL
2026-08-18T08:20:00,PT-101,3.216,bar,GOOD,NORMAL
2026-08-18T08:20:00,FT-101,47.961,m3/h,GOOD,NORMAL
2026-08-18T08:20:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:20:00,FV-101_POS,75.528,%,GOOD,NORMAL
2026-08-18T08:21:00,LT-101,56.54,%,GOOD,NORMAL
2026-08-18T08:21:00,LT-102,35.597,%,GOOD,NORMAL
2026-08-18T08:21:00,PT-101,3.307,bar,GOOD,NORMAL
2026-08-18T08:21:00,FT-101,48.389,m3/h,GOOD,NORMAL
2026-08-18T08:21:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:21:00,FV-101_POS,75.667,%,GOOD,NORMAL
2026-08-18T08:22:00,LT-101,56.836,%,GOOD,NORMAL
2026-08-18T08:22:00,LT-102,35.724,%,GOOD,NORMAL
2026-08-18T08:22:00,PT-101,3.24,bar,GOOD,NORMAL
2026-08-18T08:22:00,FT-101,49.188,m3/h,GOOD,NORMAL
2026-08-18T08:22:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:22:00,FV-101_POS,75.488,%,GOOD,NORMAL
2026-08-18T08:23:00,LT-101,56.7,%,GOOD,NORMAL
2026-08-18T08:23:00,LT-102,35.638,%,GOOD,NORMAL
2026-08-18T08:23:00,PT-101,3.256,bar,GOOD,NORMAL
2026-08-18T08:23:00,FT-101,48.612,m3/h,GOOD,NORMAL
2026-08-18T08:23:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:23:00,FV-101_POS,75.602,%,GOOD,NORMAL
2026-08-18T08:24:00,LT-101,56.71,%,GOOD,NORMAL
2026-08-18T08:24:00,LT-102,35.5,%,GOOD,NORMAL
2026-08-18T08:24:00,PT-101,3.217,bar,GOOD,NORMAL
2026-08-18T08:24:00,FT-101,48.536,m3/h,GOOD,NORMAL
2026-08-18T08:24:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:24:00,FV-101_POS,75.915,%,GOOD,NORMAL
2026-08-18T08:25:00,LT-101,56.51,%,GOOD,NORMAL
2026-08-18T08:25:00,LT-102,35.442,%,GOOD,NORMAL
2026-08-18T08:25:00,PT-101,3.207,bar,GOOD,NORMAL
2026-08-18T08:25:00,FT-101,48.092,m3/h,GOOD,NORMAL
2026-08-18T08:25:00,P-101_STATUS,1.0,state,GOOD,NORMAL
2026-08-18T08:25:00,FV-101_POS,75.316,%,GOOD,NORMAL
2026-08-18T08:26:00,LT-101,56.726,%,GOOD,NORMAL
